,FIRST,LAST,Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,datenbankart,LEBENDIG,AGE
0,Evelin941,Marks830,47f5131d-ccd1-0c75-1ecf-e86d69c0bbad,1977-04-08 00:00:00.000000,2023-02-15 14:31:59.426314,999-52-9460,S99946427,X44075204X,Ms.,,,S,white,nonhispanic,F,Whitman  Massachusetts  US,761 Durgan Alley Unit 44,Norton,Massachusetts,Bristol County,,41.94692145120247,-71.22043807149491,894980.0,2169.76,asthma,lebend,46
1,Julia241,Vigil207,11df2d68-ee41-de46-08ed-1a459c75ee9a,1979-05-02 00:00:00.000000,2023-02-15 14:31:59.426314,999-87-1437,S99929162,X2897691X,Mrs.,,Vergara204,M,white,hispanic,F,Caguas  Puerto Rico  PR,330 Hudson Village,Halifax,Massachusetts,Plymouth County,,41.99045652672542,-70.88956712438384,1051800.0,2720.6,asthma,lebend,44
2,Zackary401,Gorczany269,416335f5-4cf8-0ce0-db50-94bffda253ea,1974-01-25 00:00:00.000000,2023-02-15 14:31:59.426314,999-33-8442,S99991454,X75688756X,Mr.,,,M,black,nonhispanic,M,Uxbridge  Massachusetts  US,968 O'Conner Promenade,Winthrop,Massachusetts,Suffolk County,,42.342133705059496,-71.03413073435345,1240360.0,3148.08,asthma,lebend,49
3,Brittny484,Stracke611,32d1b4a6-fd05-9cf1-71bc-0fdb29db5f1d,1963-08-04 00:00:00.000000,2023-02-15 14:31:59.426314,999-19-9921,S99935430,X17883782X,Ms.,,,S,white,nonhispanic,F,Nantucket  Massachusetts  US,857 Kris Underpass Apt 20,Duxbury,Massachusetts,Plymouth County,,42.05141355971041,-70.6805729900979,1242900.0,3370.52,asthma,lebend,60
4,José Luis472,Serrano248,c49127f5-6363-6909-4d12-a548d418076f,1956-01-21 00:00:00.000000,2023-02-15 14:31:59.426314,999-98-2488,S99972852,X5171852X,Mr.,,,S,white,hispanic,M,Santiago de los Caballeros  Santiago  DO,221 Roberts Union Apt 14,Lynn,Massachusetts,Essex County,1901.0,42.51007918631342,-71.0091263910226,197437.15,5338.73,asthma,lebend,67
5,Catina822,Carroll471,e2e0ac23-881c-e31f-3749-bfaee1f36f98,1941-01-03 00:00:00.000000,2023-02-15 14:31:59.426314,999-27-8617,S99991301,X45653267X,Ms.,,,S,white,nonhispanic,F,Boston  Massachusetts  US,166 Dietrich Road Apt 94,Worcester,Massachusetts,Worcester County,1602.0,42.20796281426303,-71.75485621328437,1453235.91,4931.73,asthma,lebend,82
6,Qiana980,Senger904,acefcb7f-5aa1-8192-338e-8dbdf8869709,1989-03-02 00:00:00.000000,2023-02-15 14:31:59.426314,999-67-9026,S99992262,X74082167X,Mrs.,,Dicki44,M,white,nonhispanic,F,Boston  Massachusetts  US,878 Klein Annex,Brookline,Massachusetts,Norfolk County,,42.334245863169066,-71.09764784420662,689475.0,2258.12,asthma,lebend,34
7,Isiah14,Abernathy524,e24d9254-152c-a41d-e289-fb6d449b3544,2013-10-07 00:00:00.000000,2023-02-15 14:31:59.426314,999-22-9480,,,,,,,white,nonhispanic,M,Salisbury  Massachusetts  US,628 MacGyver Rapid Suite 77,Worcester,Massachusetts,Worcester County,,42.30151191022223,-71.77684621802828,18420.76,645.8,asthma,lebend,10
8,Barney639,Ondricka197,9ba2db5f-fa8a-8089-8cb4-ff7ba6deca84,1951-06-17 00:00:00.000000,2023-02-15 14:31:59.426314,999-24-5304,S99941334,X82712562X,Mr.,,,M,white,nonhispanic,M,Boylston  Massachusetts  US,111 Hilll Skyway Suite 13,Methuen,Massachusetts,Essex County,1841.0,42.719813933651366,-71.19440568965626,1734120.0,5200.44,asthma,lebend,72
9,Errol226,Senger904,3aa1b19a-bc47-5a05-b36d-970214dcfcc3,1989-07-23 00:00:00.000000,2023-02-15 14:31:59.426314,999-31-2216,S99951767,X85273314X,Mr.,,,M,white,nonhispanic,M,Framingham  Massachusetts  US,578 Marks Street Apt 24,Hopkinton,Massachusetts,Middlesex County,,42.175009004492914,-71.52612548335217,795300.0,2633.12,asthma,lebend,34
10,Jamal145,Lebsack687,0ad6714e-2e69-27dd-6892-71ccaaba7690,1969-07-10 00:00:00.000000,2004-07-08 00:00:00.000000,999-94-2205,S99948731,X38770538X,Mr.,,,S,white,nonhispanic,M,Salem  Massachusetts  US,610 Muller Center Suite 48,Hopedale,Massachusetts,Worcester County,,42.086861210683615,-71.4840104088357,719315.42,1671.4399999999998,asthma,tod,35
11,Stephanie963,Green467,07a784fb-4e52-a639-ade1-8d4e49d8f608,2013-08-14 00:00:00.000000,2023-02-15 14:31:59.426314,999-54-7289,,,,,,,white,nonhispanic,F,Boston  Massachusetts  US,1048 Christiansen Camp,Eastham,Massachusetts,Barnstable County,,41.856827447969614,-69.96374444995952,151300.0,2066.56,asthma,lebend,10
12,Gordon377,Treutel973,8e42eb48-c5f2-09c0-868c-5b1b1e5da335,2014-06-07 00:00:00.000000,2023-02-15 14:31:59.426314,999-99-8262,,,,,,,white,hispanic,M,Revere  Massachusetts  US,1031 Will Arcade Apt 46,Westfield,Massachusetts,Hampden County,1085.0,42.11008877512019,-72.736727684131,142200.0,1937.4,asthma,lebend,9
13,Junior695,Abbott774,617ee5fe-cb5d-52bd-538a-e3c2897e4b37,1969-12-29 00:00:00.000000,2023-02-15 14:31:59.426314,999-86-8645,S99982899,X31325336X,Mr.,,,S,white,nonhispanic,M,Springfield  Massachusetts  US,273 Nicolas Burg Unit 57,Danvers,Massachusetts,Essex County,,42.57419870373501,-70.90795970987794,1165110.0,2856.4,asthma,lebend,54
14,Yvonne357,Hermiston71,5de96701-c3fe-72b7-8909-62cce66b4888,1997-09-15 00:00:00.000000,2023-02-15 14:31:59.426314,999-31-4753,S99978215,X7477834X,Ms.,,,,white,nonhispanic,F,Mashpee  Massachusetts  US,747 Nitzsche Hollow Suite 90,Wakefield,Massachusetts,Middlesex County,1880.0,42.465444765587804,-71.02817812575005,505275.0,2470.64,asthma,lebend,26
15,Lahoma872,Abernathy524,05e60182-fdc0-5291-fcfd-60f08fb58ed9,2014-01-21 00:00:00.000000,2023-02-15 14:31:59.426314,999-66-6628,,,,,,,black,nonhispanic,F,Boston  Massachusetts  US,304 Lehner Light,Tisbury,Massachusetts,Dukes County,,41.47955285482104,-70.62080246655532,168000.0,1937.4,asthma,lebend,9
16,Kenna183,Cummings51,8828d3ee-98bb-d724-83ef-8526799dd10a,1971-10-17 00:00:00.000000,2023-02-15 14:31:59.426314,999-46-9527,S99984648,X88322044X,Ms.,,,S,white,nonhispanic,F,Franklin  Massachusetts  US,813 Yundt Underpass Suite 66,Fitchburg,Massachusetts,Worcester County,,42.53983617206567,-71.82192112542528,1007260.0,2477.24,asthma,lebend,52
17,Arden380,Okuneva707,11877d8f-827c-7c38-e4b4-2b2230cfd880,1964-09-22 00:00:00.000000,2023-02-15 14:31:59.426314,999-87-7029,S99993428,X9145809X,Mr.,,,M,native,nonhispanic,M,Melrose  Massachusetts  US,860 Considine Meadow Apt 53,Upton,Massachusetts,Worcester County,,42.21283720769744,-71.59478890359487,1219425.0,3316.36,asthma,lebend,59
18,Noel608,Gerhold939,1607318f-215e-0bce-6d72-cb6dfc09543f,1969-07-10 00:00:00.000000,2023-02-15 14:31:59.426314,999-77-8441,S99923176,X69654120X,Mr.,,,M,white,nonhispanic,M,Hanson  Massachusetts  US,555 Larkin Harbor,Hopedale,Massachusetts,Worcester County,,42.0772743804085,-71.49436440336517,1053240.0,2655.56,asthma,lebend,54
19,Tyisha680,Kassulke119,c7f2bbce-c376-7f5e-3915-51a7074cc19f,1976-06-12 00:00:00.000000,2023-02-15 14:31:59.426314,999-54-3597,S99996187,X78192048X,Mrs.,,Johnson679,M,white,nonhispanic,F,North Attleborough  Massachusetts  US,758 Dietrich Mall Suite 14,Quincy,Massachusetts,Norfolk County,2171.0,42.25756722834196,-71.04026412964471,911980.0,2298.92,asthma,lebend,47
20,Glennie916,Baumbach677,0bf52aa3-0c06-f3d6-5910-2a94682e8b29,1992-07-20 00:00:00.000000,2023-02-15 14:31:59.426314,999-75-7370,S99952547,X78311961X,Mrs.,,Klein929,M,white,nonhispanic,F,Waltham  Massachusetts  US,158 Yundt Haven Unit 85,Ashburnham,Massachusetts,Worcester County,,42.67612639927477,-71.92294796361048,753610.0,2793.96,asthma,lebend,31
