Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
47f5131d-ccd1-0c75-1ecf-e86d69c0bbad,1977-04-08,,999-52-9460,S99946427,X44075204X,Ms.,Evelin941,Marks830,,,S,white,nonhispanic,F,Whitman  Massachusetts  US,761 Durgan Alley Unit 44,Norton,Massachusetts,Bristol County,,41.94692145120247,-71.22043807149491,894980.0,2169.7599999999998
11df2d68-ee41-de46-08ed-1a459c75ee9a,1979-05-02,,999-87-1437,S99929162,X2897691X,Mrs.,Julia241,Vigil207,,Vergara204,M,white,hispanic,F,Caguas  Puerto Rico  PR,330 Hudson Village,Halifax,Massachusetts,Plymouth County,,41.99045652672542,-70.88956712438384,1051800.0,2720.6
416335f5-4cf8-0ce0-db50-94bffda253ea,1974-01-25,,999-33-8442,S99991454,X75688756X,Mr.,Zackary401,Gorczany269,,,M,black,nonhispanic,M,Uxbridge  Massachusetts  US,968 O'Conner Promenade,Winthrop,Massachusetts,Suffolk County,,42.342133705059496,-71.03413073435345,1240360.0,3148.08
32d1b4a6-fd05-9cf1-71bc-0fdb29db5f1d,1963-08-04,,999-19-9921,S99935430,X17883782X,Ms.,Brittny484,Stracke611,,,S,white,nonhispanic,F,Nantucket  Massachusetts  US,857 Kris Underpass Apt 20,Duxbury,Massachusetts,Plymouth County,,42.05141355971041,-70.6805729900979,1242900.0,3370.52
c49127f5-6363-6909-4d12-a548d418076f,1956-01-21,,999-98-2488,S99972852,X5171852X,Mr.,José Luis472,Serrano248,,,S,white,hispanic,M,Santiago de los Caballeros  Santiago  DO,221 Roberts Union Apt 14,Lynn,Massachusetts,Essex County,01901,42.51007918631342,-71.0091263910226,197437.15,5338.73
e2e0ac23-881c-e31f-3749-bfaee1f36f98,1941-01-03,,999-27-8617,S99991301,X45653267X,Ms.,Catina822,Carroll471,,,S,white,nonhispanic,F,Boston  Massachusetts  US,166 Dietrich Road Apt 94,Worcester,Massachusetts,Worcester County,01602,42.20796281426303,-71.75485621328437,1453235.91,4931.73
acefcb7f-5aa1-8192-338e-8dbdf8869709,1989-03-02,,999-67-9026,S99992262,X74082167X,Mrs.,Qiana980,Senger904,,Dicki44,M,white,nonhispanic,F,Boston  Massachusetts  US,878 Klein Annex,Brookline,Massachusetts,Norfolk County,,42.334245863169066,-71.09764784420662,689475.0,2258.12
e24d9254-152c-a41d-e289-fb6d449b3544,2013-10-07,,999-22-9480,,,,Isiah14,Abernathy524,,,,white,nonhispanic,M,Salisbury  Massachusetts  US,628 MacGyver Rapid Suite 77,Worcester,Massachusetts,Worcester County,,42.30151191022223,-71.77684621802828,18420.76,645.8
9ba2db5f-fa8a-8089-8cb4-ff7ba6deca84,1951-06-17,,999-24-5304,S99941334,X82712562X,Mr.,Barney639,Ondricka197,,,M,white,nonhispanic,M,Boylston  Massachusetts  US,111 Hilll Skyway Suite 13,Methuen,Massachusetts,Essex County,01841,42.719813933651366,-71.19440568965626,1734120.0,5200.44
3aa1b19a-bc47-5a05-b36d-970214dcfcc3,1989-07-23,,999-31-2216,S99951767,X85273314X,Mr.,Errol226,Senger904,,,M,white,nonhispanic,M,Framingham  Massachusetts  US,578 Marks Street Apt 24,Hopkinton,Massachusetts,Middlesex County,,42.175009004492914,-71.52612548335217,795300.0,2633.12
0ad6714e-2e69-27dd-6892-71ccaaba7690,1969-07-10,2004-07-08,999-94-2205,S99948731,X38770538X,Mr.,Jamal145,Lebsack687,,,S,white,nonhispanic,M,Salem  Massachusetts  US,610 Muller Center Suite 48,Hopedale,Massachusetts,Worcester County,,42.086861210683615,-71.4840104088357,719315.42,1671.4399999999998
07a784fb-4e52-a639-ade1-8d4e49d8f608,2013-08-14,,999-54-7289,,,,Stephanie963,Green467,,,,white,nonhispanic,F,Boston  Massachusetts  US,1048 Christiansen Camp,Eastham,Massachusetts,Barnstable County,,41.856827447969614,-69.96374444995952,151300.0,2066.56
8e42eb48-c5f2-09c0-868c-5b1b1e5da335,2014-06-07,,999-99-8262,,,,Gordon377,Treutel973,,,,white,hispanic,M,Revere  Massachusetts  US,1031 Will Arcade Apt 46,Westfield,Massachusetts,Hampden County,01085,42.11008877512019,-72.736727684131,142200.0,1937.3999999999999
617ee5fe-cb5d-52bd-538a-e3c2897e4b37,1969-12-29,,999-86-8645,S99982899,X31325336X,Mr.,Junior695,Abbott774,,,S,white,nonhispanic,M,Springfield  Massachusetts  US,273 Nicolas Burg Unit 57,Danvers,Massachusetts,Essex County,,42.57419870373501,-70.90795970987794,1165110.0,2856.3999999999996
5de96701-c3fe-72b7-8909-62cce66b4888,1997-09-15,,999-31-4753,S99978215,X7477834X,Ms.,Yvonne357,Hermiston71,,,,white,nonhispanic,F,Mashpee  Massachusetts  US,747 Nitzsche Hollow Suite 90,Wakefield,Massachusetts,Middlesex County,01880,42.465444765587804,-71.02817812575005,505275.0,2470.64
05e60182-fdc0-5291-fcfd-60f08fb58ed9,2014-01-21,,999-66-6628,,,,Lahoma872,Abernathy524,,,,black,nonhispanic,F,Boston  Massachusetts  US,304 Lehner Light,Tisbury,Massachusetts,Dukes County,,41.47955285482104,-70.62080246655532,168000.0,1937.3999999999999
8828d3ee-98bb-d724-83ef-8526799dd10a,1971-10-17,,999-46-9527,S99984648,X88322044X,Ms.,Kenna183,Cummings51,,,S,white,nonhispanic,F,Franklin  Massachusetts  US,813 Yundt Underpass Suite 66,Fitchburg,Massachusetts,Worcester County,,42.53983617206567,-71.82192112542528,1007260.0,2477.24
11877d8f-827c-7c38-e4b4-2b2230cfd880,1964-09-22,,999-87-7029,S99993428,X9145809X,Mr.,Arden380,Okuneva707,,,M,native,nonhispanic,M,Melrose  Massachusetts  US,860 Considine Meadow Apt 53,Upton,Massachusetts,Worcester County,,42.21283720769744,-71.59478890359487,1219425.0,3316.3599999999997
1607318f-215e-0bce-6d72-cb6dfc09543f,1969-07-10,,999-77-8441,S99923176,X69654120X,Mr.,Noel608,Gerhold939,,,M,white,nonhispanic,M,Hanson  Massachusetts  US,555 Larkin Harbor,Hopedale,Massachusetts,Worcester County,,42.0772743804085,-71.49436440336517,1053240.0,2655.56
c7f2bbce-c376-7f5e-3915-51a7074cc19f,1976-06-12,,999-54-3597,S99996187,X78192048X,Mrs.,Tyisha680,Kassulke119,,Johnson679,M,white,nonhispanic,F,North Attleborough  Massachusetts  US,758 Dietrich Mall Suite 14,Quincy,Massachusetts,Norfolk County,02171,42.25756722834196,-71.04026412964471,911980.0,2298.92
0bf52aa3-0c06-f3d6-5910-2a94682e8b29,1992-07-20,,999-75-7370,S99952547,X78311961X,Mrs.,Glennie916,Baumbach677,,Klein929,M,white,nonhispanic,F,Waltham  Massachusetts  US,158 Yundt Haven Unit 85,Ashburnham,Massachusetts,Worcester County,,42.676126399274764,-71.92294796361048,753610.0,2793.96
cff3557c-258c-5770-76c5-b8b4a87dacb4,1936-11-26,,999-46-4528,S99994242,X67425240X,Mr.,Theodore876,Marquardt819,,,S,white,nonhispanic,M,Tewksbury  Massachusetts  US,443 Schmitt Fork,Brockton,Massachusetts,Plymouth County,02351,42.050444268654445,-71.0120754027189,313320.0,12174.25
c7610cfc-5c64-751a-4fc9-aff51840acf2,1940-11-03,,999-49-5472,S99921972,X83879900X,Mr.,Isaias604,Witting912,,,M,white,nonhispanic,M,Brookfield  Massachusetts  US,515 Flatley Mill Apt 40,Quincy,Massachusetts,Norfolk County,02171,42.28387121623683,-71.01373148724677,1531400.0,11943.64
cb4daeb7-1fd5-9468-b763-312b8340b3a4,1959-04-08,,999-86-2659,S99989433,X84407117X,Mr.,Kieth891,Kertzmann286,,,M,white,nonhispanic,M,North Attleborough  Massachusetts  US,753 Kiehn Knoll Suite 61,New Bedford,Massachusetts,Bristol County,02746,41.54589116346014,-70.99180491712269,1336650.0,3737.16
31120636-7e14-0c07-8d1a-8307bec3021c,1967-04-02,,999-85-4368,S99930157,X35245099X,Mrs.,An125,Hickle134,,Jacobson885,M,white,nonhispanic,F,Oxford  Massachusetts  US,468 Lebsack Way Unit 97,Belchertown,Massachusetts,Hampshire County,01007,42.31839150914623,-72.39458832219184,1420870.0,3683.8799999999997
08c18159-ea88-7a13-b8c8-f91cf7e878ba,1936-09-11,,999-60-2852,S99938555,X40771234X,Ms.,Eric487,Ankunding277,,,S,white,nonhispanic,F,Saugus  Massachusetts  US,293 Johns Glen Suite 86,Warren,Massachusetts,Worcester County,01083,42.24747288856833,-72.20936058355024,64884.64,2294.04
c471181e-2cd9-40de-09bc-b0953b0b4414,1954-07-18,,999-15-3974,S99952936,X57241398X,Mr.,Joesph309,Brown30,,,M,white,nonhispanic,M,Williamsburg  Massachusetts  US,333 Zieme Crossroad,Lynn,Massachusetts,Essex County,01940,42.53624873123779,-71.04591517473537,1724705.0,4977.96
b5ef77b1-57dd-65db-2632-4b4f9c3bca5e,2014-01-21,,999-84-1177,,,,Iona921,Harvey63,,,,white,nonhispanic,F,Beverly  Massachusetts  US,662 Trantow Approach,Framingham,Massachusetts,Middlesex County,01701,42.33586566240251,-71.40560248136225,168000.0,1937.3999999999999
53e84679-55d8-cb77-dd1f-edbae5ecf9da,1970-05-14,,999-57-5598,S99963332,X78995893X,Mrs.,See995,Rolfson709,,Yost751,M,black,nonhispanic,F,Bridgewater  Massachusetts  US,446 Wolff Boulevard Apt 64,Acton,Massachusetts,Middlesex County,,42.46420757958517,-71.4515311617194,1278780.0,3186.3999999999996
132641ae-4b53-8dc7-982a-40e1475ed98b,2012-10-19,,999-66-4342,,,,Curtis94,Nicolas769,,,,white,nonhispanic,M,Boston  Massachusetts  US,511 Rippin Ville Unit 81,Millis,Massachusetts,Norfolk County,,42.13539529472588,-71.32629576479151,217800.0,2195.72
45a589ee-ce29-978d-4132-e475c50a738c,2006-06-01,,999-55-9702,,,,Ana María762,Longoria249,,,,white,hispanic,F,Caracas  Capital District  VE,1095 Bartell Frontage road Unit 98,Holden,Massachusetts,Worcester County,,42.37387137716151,-71.85772414122965,332500.0,2970.68
d0c733b5-0e7d-65f6-af72-a0a209e60d50,1979-10-29,,999-24-8865,S99964011,X75452854X,Mr.,Clyde817,Bernier607,,,M,white,nonhispanic,M,Amesbury  Massachusetts  US,438 Gleichner Forge,Brockton,Massachusetts,Plymouth County,02351,42.08797793087279,-71.0617312267235,941857.98,3030.5299999999997
aada0713-482e-515c-a827-30a7436c037e,1939-03-28,,999-15-5958,S99945479,X60712230X,Mr.,Aurelio227,Gutmann970,,,M,white,nonhispanic,M,Arlington  Massachusetts  US,810 Wiegand Forge,Plymouth,Massachusetts,Plymouth County,02360,41.871898181607186,-70.61020333351935,1380650.0,4770.36
a76f5e8a-a639-f913-a3e4-582ed72b6c82,1991-03-14,,999-85-1861,S99990956,X84443540X,Mr.,Herschel574,Tremblay80,,,M,white,nonhispanic,M,Yarmouth  Massachusetts  US,1051 Pollich Fort,Medford,Massachusetts,Middlesex County,02155,42.44065546104698,-71.10331446333385,90880.0,2623.96
8db3bdf1-f2eb-bd1b-2389-d9508a08ff09,1985-05-22,,999-48-5847,S99946860,X65686768X,Mr.,Víctor493,Caldera106,,,M,white,hispanic,M,La Paz  Baja California  MX,847 Mante Fork Unit 5,Westfield,Massachusetts,Hampden County,01085,42.118692324709194,-72.78239988658395,943140.0,2722.2799999999997
3e0b7ebb-d418-3cc6-5d84-37cd42bce4fd,1940-08-20,,999-27-6494,S99967766,X51838495X,Mr.,Eugenio846,Wolff180,,,S,white,nonhispanic,M,Clarksburg  Massachusetts  US,189 Tillman Corner,Foxborough,Massachusetts,Norfolk County,02035,42.021015727411985,-71.27078610419457,1378060.0,4552.04
d1a0ad48-ac75-09c9-bc17-f293ce2d0063,2013-04-24,,999-28-1734,,,,German382,Toy286,,,,white,nonhispanic,M,Hull  Massachusetts  US,867 Dooley Street Apt 12,Brockton,Massachusetts,Plymouth County,02302,42.12220349712746,-71.05939467740849,156400.0,2066.56
4464267b-3634-7877-8683-45c170bc37a7,1980-08-29,,999-52-5614,S99932627,X88471113X,Mrs.,Christy428,Streich926,,Prosacco716,M,white,nonhispanic,F,Newton  Massachusetts  US,157 Parker Mall,Scituate,Massachusetts,Plymouth County,,42.24918799831759,-70.75804955895012,1018200.0,2720.6
ada8e94c-7cbd-b7d5-b63f-85284b7aaca8,1997-12-10,,999-77-1731,S99924070,X10889146X,Ms.,Salome647,Zboncak558,,,,white,nonhispanic,F,Barnstable  Massachusetts  US,625 Kilback Crossroad,Malden,Massachusetts,Middlesex County,,42.44530625715509,-71.01470801770776,610335.0,2810.64
d681090c-4058-2f41-2404-af7f3ce16326,2000-12-20,,999-60-5917,S99962460,,Mr.,Darrin898,Keeling57,,,,white,nonhispanic,M,North Andover  Massachusetts  US,457 Doyle Estate Apt 48,Lowell,Massachusetts,Middlesex County,01851,42.61101998032184,-71.27226329487948,410820.0,2496.48
