Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
2f114e21-8b95-e9eb-2e9e-4b950b059cfa,2002-05-05,,999-23-8106,S99926648,,Ms.,Terisa250,Kreiger457,,,,white,nonhispanic,F,Oxford  Massachusetts  US,325 Robel Route Apt 85,Swampscott,Massachusetts,Essex County,01907,42.4727363030401,-70.87652826750256,471180.0,2784.81
2812f4fc-6aba-0033-728b-7e569bb8adcc,1942-05-24,,999-24-5281,S99910925,X76697172X,Mr.,Romeo514,Morar593,,,M,white,nonhispanic,M,Springfield  Massachusetts  US,496 Klein Wynd Unit 85,Charlton,Massachusetts,Worcester County,,42.13146482202136,-71.97033335268013,1606235.0,5375.37
9b1a203a-6368-49a5-0c79-45c32729bc17,2013-06-15,,999-75-9525,,,,Jamaal34,Hessel84,,,,white,nonhispanic,M,Framingham  Massachusetts  US,184 Corkery Byway,Methuen,Massachusetts,Essex County,,42.730659566644164,-71.15944177306567,172970.0,2074.0499999999997
52a250a9-24e4-ec9b-91d6-c38cf1b10fc0,1997-11-16,,999-26-4891,S99979802,X57430890X,Ms.,Kenya524,Leuschke194,,,,white,nonhispanic,F,Easton  Massachusetts  US,634 Predovic Mission Suite 14,Yarmouth,Massachusetts,Barnstable County,,41.66356331931504,-70.23415223874085,557170.0,2653.1299999999997
ad5525c0-fdab-94dc-018f-d7209c72bdef,1965-08-28,,999-29-9941,S99959414,X19338033X,Mr.,Clark193,Little434,,,M,white,nonhispanic,M,Lowell  Massachusetts  US,950 Kshlerin Park,Malden,Massachusetts,Middlesex County,02148,42.39258381989181,-71.07806252364281,68024.89,2743.96
7f30313f-98e9-2cc2-68a5-6f9973f9ad5a,1974-12-06,,999-86-1250,S99931744,X24494564X,Mrs.,Simona661,Green467,,Jacobi462,M,white,nonhispanic,F,Lynn  Massachusetts  US,1028 Bogisich Trail,Shrewsbury,Massachusetts,Worcester County,,42.275887025218665,-71.66480918780293,1163220.0,2936.41
f7dddcba-380e-7fd4-20b0-da086ce5dc3a,1991-08-19,,999-23-1168,S99927841,X83637430X,Mrs.,Moira454,Quitzon246,,Aufderhar910,M,white,nonhispanic,F,Boston  Massachusetts  US,572 Towne Trailer Apt 60,Boston,Massachusetts,Suffolk County,02128,42.32786769501126,-71.03861541193218,777865.0,2738.96
21e040b3-3c29-6042-1dba-da47dee67c18,1952-12-25,,999-26-7185,S99916964,X89508428X,Mr.,Guillermo498,Cepeda588,,,M,white,hispanic,M,San Jose  San Jose  CR,361 Barton Parade Apt 15,Athol,Massachusetts,Worcester County,01331,42.56788622132683,-72.22307183070907,1649600.0,4968.7699999999995
b9f7feb0-45ac-55ed-4ee2-be12ad599416,1980-02-24,,999-73-7184,S99991743,X20086832X,Ms.,Geralyn932,Steuber698,,,S,white,nonhispanic,F,Chicopee  Massachusetts  US,1015 Bergnaum Gardens Suite 74,Somerville,Massachusetts,Middlesex County,02155,42.418395960691676,-71.09863791369015,124360.0,2738.0899999999997
2b2d8855-c163-3838-a719-995a3cefca33,1992-10-19,,999-10-5678,S99967933,X8168343X,Mrs.,Gracia333,Lockman863,,Dooley940,M,white,nonhispanic,F,Framingham  Massachusetts  US,428 Armstrong Green,Uxbridge,Massachusetts,Worcester County,,42.06835608506663,-71.68900867068423,679495.0,2457.29
5ceb0a29-06ec-8f11-894f-5dc60819290d,1982-11-06,,999-90-2090,S99941014,X9882650X,Mr.,Robert854,Collier206,,,M,white,nonhispanic,M,Medford  Massachusetts  US,973 Mayer Avenue,Burlington,Massachusetts,Middlesex County,,42.45508444027661,-71.2885863698741,963600.0,2668.93
b90e86ba-039e-b58d-ce7a-2286647874f8,2005-05-22,,999-89-3511,,,,Maryalice613,Sauer652,,,,white,nonhispanic,F,Methuen  Massachusetts  US,298 Durgan Club,Lawrence,Massachusetts,Essex County,01843,42.66545532188704,-71.13116860542875,47300.0,2877.33
ff9e749b-0abc-22f8-0d62-6912b87781b1,1973-05-03,,999-32-4414,S99942519,X43062317X,Mrs.,Marquitta546,Hudson301,,Schultz619,M,white,nonhispanic,F,Barnstable  Massachusetts  US,823 Yundt Harbor,Boston,Massachusetts,Suffolk County,02119,42.33644166785445,-71.13074697409584,144980.0,3005.5699999999997
