Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
5e96bd7f-bdc3-7787-110f-ba2dfb89948b,1982-09-20,,999-31-1967,S99910484,X76443511X,Mr.,Alan320,Hintz995,,,S,white,nonhispanic,M,Northampton  Massachusetts  US,454 Schimmel Approach,Wakefield,Massachusetts,Middlesex County,01880,42.56467748728921,-70.99965645205745,784320.0,2071.44
19a257c0-1425-cb43-c92b-60be60a62e4b,2012-07-11,,999-91-9488,,,,Sydney660,Bailey598,,,,white,nonhispanic,M,Springfield  Massachusetts  US,675 Maggio Bridge,Middleton,Massachusetts,Essex County,,42.57646132806944,-71.02566889922088,183600.0,2195.72
e864c897-cc30-45e3-0950-8503ed51d86c,1997-07-22,,999-43-1615,S99952344,X63831838X,Mr.,Octavio643,Haag279,,,,white,hispanic,M,Carver  Massachusetts  US,662 Paucek Dam Unit 21,Boston,Massachusetts,Suffolk County,02199,42.384919316302344,-70.9566525307444,593220.0,2725.64
1f162789-128f-2fa6-3c99-c4a517a7e694,1994-12-07,,999-90-7960,S99981435,X54083938X,Ms.,Ozella681,Nikolaus26,,,,white,nonhispanic,F,Boston  Massachusetts  US,797 Marks Rapid,Groton,Massachusetts,Middlesex County,,42.630181721713605,-71.55517740212304,596100.0,2474.7999999999997
0508d723-6462-c769-7050-e9eff1f61ec7,1971-04-05,,999-25-7264,S99959730,X22168667X,Mr.,Teodoro374,Hoeger474,,,M,white,nonhispanic,M,Cambridge  Massachusetts  US,589 Breitenberg Corner Unit 40,Princeton,Massachusetts,Worcester County,,42.413445718355504,-71.91784107129725,1315215.0,3222.24
035a1274-294a-431d-f4a8-0f29e85ecf99,1992-01-19,,999-23-7459,S99959116,X50126581X,Mrs.,Janyce124,Kuhn96,,Murazik203,M,black,nonhispanic,F,Lawrence  Massachusetts  US,677 Treutel Lodge Apt 59,West Tisbury,Massachusetts,Dukes County,,41.34847484049131,-70.62217177103273,593360.0,2243.96
c3b4970d-06c7-3c22-18a3-4e9353f35baf,1958-06-23,,999-30-9012,S99972082,X76848224X,Mr.,Chi716,Carroll471,,,M,white,nonhispanic,M,Bolton  Massachusetts  US,647 Gleichner Viaduct,Lynn,Massachusetts,Essex County,01904,42.467810359491644,-71.04246394622899,1584762.03,6441.96
3acfeeda-c00b-bdec-6e5d-42237d5b6eae,1968-02-11,,999-35-4819,S99928001,X29904618X,Mr.,Elias404,West559,,,M,white,nonhispanic,M,Belchertown  Massachusetts  US,651 Towne Union Suite 95,Southbridge,Massachusetts,Worcester County,,42.09012293582743,-71.99514018987355,1082220.0,2704.72
3a6b7336-da64-2bfd-f1be-9f403a0fb71c,2016-02-04,,999-98-7249,,,,Christoper325,Kozey370,,,,asian,nonhispanic,M,Lowell  Massachusetts  US,137 Spencer Forge,Hopkinton,Massachusetts,Middlesex County,01748,42.227536672892725,-71.54175080212383,129800.0,1679.08
bc30d56e-30e3-23ce-5233-e0d6aa68c262,2016-08-06,,999-15-9271,,,,Arron144,Tromp100,,,,white,hispanic,M,Tewksbury  Massachusetts  US,100 McClure Spur,Somerville,Massachusetts,Middlesex County,02144,42.419497318415026,-71.12910428778595,116600.0,1679.08
